Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
223,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0,0.09,13.74,0,0.03,0,1038,1386.2,1878.6,16.7
224,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1388.1,1743.2,19.1
225,0.25,0.01,0.01,14.09,0.93,2,0.01,0,0.08,13.88,0,0.03,0,1038,1469.5,1878.6,5.3
226,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1085,1451.9,1977.7,16.9
227,0.25,0.01,0.01,14.09,0.93,2,0.01,0,0.08,13.88,0,0.03,0,1038,1407.7,1773.6,16.7
228,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0,0.27,13.94,0,0.03,0,927,1266.5,1650,23
229,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1010,1309.6,1722.6,15.7
230,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1085,1451.9,1890.4,19.1
231,0.19,0.01,0.5,12.53,0.95,1.48,0.01,0,0.01,15.02,0,0.03,0,1038,1374.4,1832.5,16.1
232,0.21,0.01,0.01,14.08,0.93,2,0.01,0,0.08,13.83,0,0.03,0,1038,1405.8,1869.8,14.8
233,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0,0.08,16.62,0,0.03,0,1038,1361.6,1900.2,8.9
234,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1280.2,,
235,0.16,0.01,0.03,13.99,1.09,4.95,0.01,0,0.27,13.94,0,0.03,0,927,1072.2,1556.8,20.7
236,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1278.2,1656.9,18.2
237,0.19,0.02,0.49,12.56,0.94,1.96,0.01,0,0.01,20.1,0,0.03,0,1038,1328.3,1779.5,19.7
238,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0,0.08,17.06,0,0.03,0,1038,1358.7,1794.2,18.5
239,0.23,0.01,0.52,12.47,0.95,1.97,0.01,0,0.08,13.78,0,0.03,0,1038,1359.7,1809.9,7.3
240,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,1364.6,1746.2,17.8
241,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0,0.08,17,0,0.03,0,1038,1266.5,1854.1,20.7
242,0.22,0.01,1.01,12.61,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,1402.8,1801.1,14.6
243,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0,0.08,13.88,0,0.03,0,1038,1332.2,1782.5,18.1
244,0.21,0.01,1.99,12.58,0.94,1.98,0.01,0,0.08,13.88,0,0.03,0,1038,1376.3,1757,20.1
245,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0,0.09,13.74,0,0.03,0,1038,1401.8,1792.3,19.5
246,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0,0.08,13.75,0,0.03,0,1038,1287.1,1762.9,
247,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1245.9,1639.3,
248,0.2,0.01,1,12.6,0.94,1.98,0.21,0,0.08,13.77,0,0.03,0,1038,1390.1,1762.9,16.8
249,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0,0.08,13.83,0,0.03,0,1038,1382.2,1794.2,18.3
250,0.21,0.01,0.01,14.04,0.01,1.99,0.01,0,0.08,13.79,0,0.03,0,1038,1348.9,1727.5,9.6
251,0.19,0.01,0.73,12.47,0.95,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,,,17.5
252,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0,0.08,15.16,0,0.03,0,1038,1347.9,1785.4,16.3
253,0.21,0.01,0.01,14.08,0.93,2,0.01,0,0.08,13.83,0,0.03,0,1038,1340,1730.5,18.7
254,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1085,1348.9,1819.8,19.5
255,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,1328.3,1735.4,16
256,0.2,0.01,0.03,14.09,0.01,1.98,0.01,0,0.08,16.62,0,0.03,0,1038,1354.8,1782.5,18.7
257,0.21,0.01,0.56,12.54,0.99,1.97,0.34,0,0.08,13.76,0,0.03,0,1038,1301.8,1779.5,16.1
258,0.2,0.01,1.5,12.63,0.94,1.98,0.01,0,0.08,13.83,0,0.03,0,1038,1382.2,1735.4,18.7
259,0.21,0.01,0.37,12.59,0.96,1.98,0.01,0,0.08,13.75,0,0.03,0,1038,1290,1763.8,17
260,0.2,0.01,1,12.6,0.94,1.98,0.21,0,0.08,13.77,0,0.03,0,1038,1298.8,1710.9,18.8
261,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0,0.08,13.75,0,0.03,0,1038,1345.9,1770.7,16.7
262,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0,0.08,13.75,0,0.03,0,1038,1341,1739.3,20.4
263,0.21,0.01,0.56,12.54,0.99,1.97,0.34,0,0.08,13.76,0,0.03,0,1038,1259.6,1764.8,8.9
264,0.21,0.01,0.73,12.51,0.94,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,1410.7,1783.5,15.8
265,0.23,0.01,0.36,12.6,0.95,1.97,0.01,0,0.08,12.77,0,0.03,0,1038,1302.8,1721.7,18.1
266,0.19,0.01,0.5,12.64,0.98,1.95,0.01,0,0.02,13.67,0,0.03,0,1038,1376.3,1732.4,17.7
267,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0,0.08,13.82,0,0.03,0,1038,1465.6,1836.4,12.6
268,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1040,1285.1,1732.4,18.9
269,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0,0.08,17.06,0,0.03,0,1038,1272.4,1746.2,17.3
270,0.21,0.01,0.37,12.59,0.96,1.98,0.01,0,0.08,13.75,0,0.03,0,1038,1375.4,1784.4,16.7
271,0.2,0.01,0.01,13.82,1.13,0.99,0.01,0,0.09,13.74,0,0.03,0,1038,1342,,
272,0.2,0.02,0.49,12.55,0.94,1.97,0.01,0,0.02,15.08,0,0.03,0,1038,1258.6,1738.3,16.9
273,0.21,0.01,0.5,12.55,0.94,1.98,0.01,0,0.08,13.75,0,0.03,0,1038,1421.5,1792.3,16.1
274,0.19,0.02,0.49,12.54,0.96,1.49,0.46,0,0.01,15.1,0,0.03,0,1038,1241,1719.7,18.5
275,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1085,1322.4,1809,18.6
276,0.19,0.46,0.49,12.67,0.95,1.49,0.01,0,0.01,15.1,0,0.03,0,1038,1250.8,1737.4,18.1
277,0.2,0.01,0.51,12.51,0.95,1.97,0.01,0,0.08,17.06,0,0.03,0,1038,1335.1,1771.7,17.5
278,0.19,0.01,0.49,12.53,0.96,1.48,0.33,0,0.01,14.95,0,0.03,0,1038,1218.4,1738.3,19.3
279,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1070,,,17.5
280,0.17,0.01,0.78,12.54,0.95,1.99,0.01,0,0.08,13.99,0,0.03,0,1038,,1727.5,17.3
281,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0,0.08,15.16,0,0.03,0,1038,1280.2,1763.8,18.5
282,0.2,0.01,0.51,12.51,0.95,1.98,0.01,0,0.08,15.16,0,0.03,0,1038,1314.5,1777.6,11.2
283,0.19,0.01,0.5,12.53,0.95,1.48,0.01,0,0.01,15.02,0,0.03,0,1038,1247.8,1746.2,16.3
284,0.2,0.01,0.01,14.13,0.92,1.99,0.01,0,0.08,17,0,0.03,0,1038,1220.4,1730.5,20.9
285,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0,0.08,13.82,0,0.03,0,1038,1399.9,1765.8,16.7
286,0.2,0.51,0.51,12.59,1.03,1.98,0.01,0,0.01,15.4,0,0.03,0,1070,1346.9,1776.6,19.5
287,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1085,1272.4,1783.5,19.7
288,0.19,0.01,0.01,12.61,0.99,1.98,0.01,0,0.07,13.79,0,0.03,0,1038,1371.4,1730.5,15.6
289,0.2,0.01,0.3,12.46,0.95,1.97,0.01,0,0.08,13.75,0,0.03,0,1038,1312.6,1777.6,10.2
290,0.15,0.01,0.01,14.01,0.93,1.99,0.01,0,0.08,13.76,0,0.03,0,1038,1278.2,1610.8,17.7
291,0.2,0.01,0.01,11.94,2.48,0.99,0.01,0,0.1,13.64,0,0.03,0,1038,1273.3,1640.2,18.6
292,0.19,0.01,0.73,12.47,0.95,1.98,0.01,0,0.08,13.78,0,0.03,0,1038,,,17.7
293,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0,0.01,15.56,0,0.03,0,1100,1297.9,1782.5,18.7
294,0.21,0.43,0.5,12.53,1.18,2.06,0.01,0,0.01,15.95,0,0.03,0,1100,1265.5,1756,20.1
295,0.2,0.01,0.01,10.53,2.49,1.98,0.01,0,0.1,13.67,0,0.03,0,1038,1282.2,1668.7,17.8
296,0.2,0.51,0.52,12.66,1.02,1.99,0.01,0,0.01,15.56,0,0.03,0,1100,1192.9,1726.6,18.3
297,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1433.8,1509.6,17.6
298,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1430.4,1515.8,16.9
299,0.03,0.01,0.01,12.64,8.44,2.24,0.01,0,0.01,0.01,0,1.31,0.01,927,1523.4,1576.4,13.7
300,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1434.5,1517.2,16
301,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1406.2,1471.7,17
302,0.03,0.01,0.01,12.64,8.44,2.24,0.01,0,0.01,0.01,0,1.31,0.01,927,1519.2,1568.2,13.3
303,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1374.6,1449,
304,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1466.9,1556.5,16.2
305,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1402.8,1477.9,17
306,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1400.7,1466.2,16.5
307,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1478.6,1517.2,16.1
308,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1463.4,1547.5,16.9
309,0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0,1.05,0.01,927,,1498.6,14
310,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1464.1,1531,16.8
311,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1451,1501.3,14.5
312,0.03,0.01,0.01,12.56,8.31,2.22,0.01,0,0.01,0.01,0,1.02,0.01,927,1435.2,1468.3,14
313,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1420,1460.7,14.1
314,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1453.1,,16.4
315,0.03,0.01,0.01,12.56,8.31,2.22,0.01,0,0.01,0.01,0,1.02,0.01,927,1392.5,1423.5,14.6
316,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1393.8,1468.3,15.1
317,0.03,0.01,0.01,12.57,8.29,2.22,0.01,0.01,0.01,0.01,0,1.05,0.01,927,1411.8,1448.3,
318,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1435.9,1480,13.6
319,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1464.8,1514.4,15.1
320,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1482.7,,
321,0.03,0.01,0.01,12.54,8.38,2.24,0.01,0,0.01,0.01,0,1.03,0.01,927,1429.7,1462.7,13.5
322,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1457.2,1500,17.1
323,0.03,0.01,0.01,12.54,8.38,2.24,0.01,0,0.01,0.01,0,1.03,0.01,927,1415.9,1453.1,14.4
324,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,,1429.7,13.3
325,0.04,0.01,0.01,12.38,8.25,2.2,0.01,0,0.01,0.01,0,0.81,0.03,927,1293.3,1349.1,17.8
326,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1431.7,1476.5,13.8
327,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1409.7,1470.3,16.8
328,0.04,0.01,0.01,12.38,8.25,2.2,0.01,0,0.01,0.01,0,0.81,0.03,927,1317.4,,18.6
329,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1389.7,1465.5,16.8
330,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1398.7,1462.1,16.9
331,0.04,0.01,0.04,12.44,8.26,2.19,0.01,0,0.01,0.01,0,0.77,0.02,927,1305,1355.3,16.7
332,0.04,0.01,0.04,12.44,8.26,2.19,0.01,0,0.01,0.01,0,0.77,0.02,927,1256.7,1324.9,15.5
333,0.04,0.01,0.01,12.58,8.39,2.2,0.01,0,0.01,0.01,0,0.77,0.02,927,1274,1331.1,17.9
334,0.04,0.01,0.01,12.58,8.39,2.2,0.01,0,0.01,0.01,0,0.77,0.02,927,1286.4,1356.6,18.9
335,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1295.3,1357.3,14
336,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1295.3,1357.3,14
337,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1295.3,1357.3,14
338,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1295.3,1357.3,14
339,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1274.7,1336.7,15
340,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1274.7,1336.7,15
341,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1274.7,1336.7,15
342,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1274.7,1336.7,15
343,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1322.9,19
344,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,,19
345,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1322.9,19
346,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1322.9,19
347,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1407.6,1471.7,17.3
348,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1329.8,18
349,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1329.8,18
350,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1329.8,18
351,0.03,0.01,0.01,12.51,8.31,2.22,0.01,0,0.01,0.01,0,1.06,0.02,927,1267.8,1329.8,18
352,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,,1371.1,19
353,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1316,1371.1,19
354,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1316,1371.1,19
355,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1316,1371.1,19
356,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1343.6,1405.6,18
357,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1343.6,1405.6,
358,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1343.6,1405.6,18
359,0.03,0.01,0.01,12.51,8.36,2.22,0.01,0,0.01,0.01,0,1.06,0.09,927,1343.6,1405.6,18
360,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1254,1295.3,19
361,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1254,1295.3,19
362,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1254,1295.3,19
363,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1254,1295.3,
364,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1309.1,1357.3,18
365,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1309.1,1357.3,18
366,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1309.1,1357.3,18
367,0.03,0.01,0.01,12.49,8.31,2.22,0.01,0,0.01,0.01,0,1.07,0.05,927,1309.1,1357.3,18
368,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
369,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
370,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
371,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
372,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
373,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
374,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,
375,0.03,0.01,0.01,12.47,8.31,2.2,0.01,0,0.01,0.01,0,1.03,0.02,927,1247.1,1295.3,19
376,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1309.1,,18
377,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,,1357.3,18
378,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1309.1,1357.3,
379,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1309.1,1357.3,18
380,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1329.8,1384.9,17
381,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1329.8,1384.9,17
382,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1329.8,1384.9,17
383,0.04,0.01,0.01,12.45,8.33,2.2,0.01,0,0.01,0.01,0,1.04,0.1,927,1329.8,1384.9,17
384,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1233.3,1281.5,
385,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1233.3,1281.5,16
386,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1233.3,1281.5,16
387,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1233.3,1281.5,16
388,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1247.1,1302.2,17
389,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1247.1,1302.2,17
390,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1247.1,1302.2,17
391,0.03,0.01,0.01,12.52,8.34,2.21,0.01,0.01,0.01,0.01,0,1.06,0.02,927,1247.1,1302.2,17
392,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1357.3,1398.7,17
393,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1357.3,,
394,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1357.3,1398.7,17
395,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1357.3,1398.7,17
396,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1309.1,1364.2,17
397,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1309.1,1364.2,17
398,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1309.1,1364.2,17
399,0.03,0.01,0.01,12.49,8.31,2.21,0.01,0.01,0.01,0.01,0,1.06,0.09,927,1309.1,1364.2,17
400,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,,1316,18
401,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1267.8,1316,18
402,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1267.8,1316,18
403,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1267.8,1316,18
404,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1254,1316,
405,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1254,1316,19
406,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,,1316,19
407,0.03,0.01,0.01,12.51,8.28,2.2,0.01,0.01,0.01,0.01,0,1.05,0.05,927,1254,,
408,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1274.7,1329.8,19
409,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1274.7,1329.8,19
410,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1274.7,1329.8,19
411,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1274.7,1329.8,19
412,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1260.9,1316,18
413,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1260.9,1316,18
414,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1260.9,1316,18
415,0.04,0.01,0.01,12.35,8.27,2.21,0.01,0,0.01,0.01,0,1.04,0.03,927,1260.9,1316,18
416,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1254,1281.5,15
417,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1254,1281.5,15
418,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1254,1281.5,15
419,0.04,0.01,0.01,12.46,8.34,2.24,0.01,0,0.01,0.01,0,1.04,0.01,927,1254,1281.5,15
420,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1288.4,17
421,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1288.4,17
422,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1288.4,17
423,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1288.4,17
424,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1295.3,15
425,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1295.3,15
426,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1295.3,15
427,0.04,0.01,0.01,12.49,8.3,2.23,0.01,0,0.01,0.01,0,1.07,0.01,927,1267.8,1295.3,15
428,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1343.6,1357.3,18.1
429,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1343.6,1357.3,18.1
430,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1343.6,1357.3,18.1
431,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1343.6,1357.3,18.1
432,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1281.5,1295.3,18.1
433,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1281.5,1295.3,18.1
434,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1281.5,,18.1
435,0.04,0.01,0.01,12.51,8.32,2.22,0.01,0,0.01,0.01,0,1.06,0.05,927,1281.5,1295.3,18.1
436,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1371.1,1398.7,17
437,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1371.1,1398.7,17
438,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1371.1,1398.7,17
439,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,1371.1,1398.7,17
440,0.04,0.01,0.01,12.49,8.3,2.21,0.01,0,0.01,0.01,0,1.02,0.09,927,,1412.5,17
